Player,Squad,Pos,Min,90s,Tkl,Int,Blocks,Clr,TklDef3rd,TklMid3rd,TklAtt3rd,Recov,PasProg,CarProg,CarPrgDist,Pas3rd,PasAss,SCA,PPA,TB,PasTotCmp%,CarMis,CarDis,Touches,Carries,Rec,Tkl_p90,Int_p90,Blocks_p90,Clr_p90,TklDef3rd_p90,TklMid3rd_p90,TklAtt3rd_p90,Recov_p90,PasProg_p90,CarProg_p90,CarPrgDist_p90,Pas3rd_p90,PasAss_p90,SCA_p90,PPA_p90,TB_p90,Touches_p90,Carries_p90,Rec_p90,Tkl_p90_pct,Int_p90_pct,Blocks_p90_pct,Clr_p90_pct,TklDef3rd_p90_pct,TklMid3rd_p90_pct,TklAtt3rd_p90_pct,Recov_p90_pct,PasProg_p90_pct,CarProg_p90_pct,CarPrgDist_p90_pct,Pas3rd_p90_pct,PasAss_p90_pct,SCA_p90_pct,PPA_p90_pct,TB_p90_pct,PasTotCmp%_pct,CarMis_pct,CarDis_pct,Touches_p90_pct,Carries_p90_pct,Rec_p90_pct,defensive_impact,pressing_ball_winning,ball_progression,chance_creation,possession_retention,off_ball_activity,SCS
Aaron Cresswell,West Ham,DF,1533,17.0,0.82,1.18,1.0,2.35,0.47,0.35,0.0,4.71,6.94,1.59,74.4,4.41,1.76,3.12,1.41,0.06,79.6,0.24,0.35,70.8,33.5,43.3,0.04823529411764706,0.06941176470588235,0.058823529411764705,0.13823529411764707,0.02764705882352941,0.020588235294117647,0.0,0.27705882352941175,0.4082352941176471,0.09352941176470589,4.376470588235295,0.25941176470588234,0.10352941176470588,0.18352941176470589,0.08294117647058823,0.003529411764705882,4.164705882352941,1.9705882352941178,2.5470588235294116,9.89010989010989,42.857142857142854,21.978021978021978,23.076923076923077,9.89010989010989,32.967032967032964,13.736263736263737,25.274725274725274,89.01098901098901,64.83516483516483,26.373626373626376,75.82417582417582,93.4065934065934,90.10989010989012,86.81318681318682,65.93406593406593,43.956043956043956,90.1098901098901,39.01098901098901,42.857142857142854,38.46153846153847,49.45054945054945,24.45054945054945,20.467032967032967,64.01098901098901,84.06593406593406,57.6923076923077,43.58974358974359,40.425824175824175
Adam Armstrong,Southampton,FW,1027,11.4,0.88,0.26,1.14,0.44,0.26,0.35,0.26,3.86,1.32,2.89,72.4,0.96,0.88,1.58,0.79,0.0,73.4,1.4,1.32,32.2,18.2,19.4,0.07719298245614035,0.02280701754385965,0.09999999999999999,0.03859649122807018,0.02280701754385965,0.03070175438596491,0.02280701754385965,0.3385964912280702,0.11578947368421053,0.2535087719298246,6.350877192982456,0.08421052631578947,0.07719298245614035,0.1385964912280702,0.0692982456140351,0.0,2.8245614035087723,1.5964912280701753,1.701754385964912,53.06122448979592,57.14285714285714,93.87755102040816,46.93877551020408,59.183673469387756,65.3061224489796,63.26530612244898,71.42857142857143,28.57142857142857,77.55102040816327,73.46938775510205,48.97959183673469,48.97959183673469,26.53061224489796,59.183673469387756,12.244897959183673,59.183673469387756,95.91836734693878,67.34693877551021,59.183673469387756,55.10204081632652,36.734693877551024,62.755102040816325,64.79591836734694,57.142857142857146,36.734693877551024,74.14965986394559,50.34013605442177,53.25680272108844
Adam Smith,Bournemouth,DF,1805,20.1,1.79,0.7,1.14,2.19,1.0,0.65,0.15,4.03,2.99,0.8,47.9,2.49,0.35,0.7,0.85,0.0,77.0,0.8,0.15,49.1,21.0,25.4,0.0890547263681592,0.03482587064676616,0.05671641791044775,0.108955223880597,0.04975124378109452,0.03233830845771144,0.007462686567164178,0.20049751243781094,0.14875621890547264,0.03980099502487562,2.3830845771144276,0.12388059701492538,0.01741293532338308,0.03482587064676616,0.04228855721393034,0.0,2.442786069651741,1.044776119402985,1.2636815920398008,39.56043956043956,5.4945054945054945,19.78021978021978,7.6923076923076925,35.16483516483517,47.25274725274725,58.24175824175825,3.296703296703297,21.978021978021978,37.362637362637365,2.197802197802198,14.285714285714285,36.26373626373626,21.978021978021978,63.73626373626373,30.21978021978022,31.868131868131865,39.56043956043956,71.42857142857143,2.197802197802198,2.197802197802198,2.197802197802198,18.131868131868135,35.98901098901099,18.956043956043956,38.04945054945055,47.61904761904762,2.197802197802198,24.85576923076923
Adam Webster,Brighton,DF,1248,13.9,0.86,1.08,1.29,2.73,0.43,0.36,0.07,6.69,4.96,0.86,139.1,5.4,0.14,0.72,0.29,0.0,87.3,0.5,0.22,80.1,50.6,55.4,0.061870503597122296,0.07769784172661871,0.09280575539568345,0.19640287769784173,0.030935251798561148,0.025899280575539568,0.005035971223021583,0.481294964028777,0.35683453237410073,0.061870503597122296,10.007194244604316,0.38848920863309355,0.010071942446043166,0.051798561151079135,0.020863309352517984,0.0,5.762589928057554,3.6402877697841727,3.9856115107913666,17.582417582417584,57.14285714285714,67.03296703296702,48.35164835164835,13.186813186813188,41.75824175824176,40.10989010989011,87.91208791208791,83.51648351648352,49.45054945054945,84.61538461538461,89.01098901098901,24.725274725274726,40.65934065934066,48.35164835164835,30.21978021978022,85.71428571428571,68.13186813186813,60.43956043956044,83.51648351648352,87.91208791208791,86.81318681318682,47.527472527472526,45.74175824175824,76.64835164835165,35.98901098901099,71.42857142857143,86.08058608058609,60.32967032967033
Adama Traoré,Wolves,FW,900,10.0,1.0,0.1,0.6,0.6,0.4,0.3,0.3,4.1,2.4,5.0,124.0,1.1,1.3,2.7,1.3,0.2,65.3,3.6,1.6,42.6,27.5,32.6,0.1,0.01,0.06,0.06,0.04,0.03,0.03,0.41,0.24,0.5,12.4,0.11000000000000001,0.13,0.27,0.13,0.02,4.26,2.75,3.2600000000000002,71.42857142857143,18.367346938775512,53.06122448979592,69.38775510204081,75.51020408163265,63.26530612244898,79.59183673469387,81.63265306122449,73.46938775510205,93.87755102040816,93.87755102040816,69.38775510204081,77.55102040816327,71.42857142857143,89.79591836734694,83.6734693877551,22.448979591836736,10.204081632653057,55.10204081632653,81.63265306122449,85.71428571428571,83.6734693877551,53.06122448979592,75.0,82.65306122448979,80.61224489795919,29.25170068027211,83.6734693877551,71.98979591836735
Aleksandar Mitrovi?,Fulham,FW,1633,18.1,0.66,0.17,0.83,0.88,0.33,0.22,0.11,2.76,1.93,1.05,33.0,1.16,0.83,2.93,0.39,0.22,60.4,3.09,2.54,36.6,20.8,29.1,0.036464088397790057,0.009392265193370166,0.045856353591160214,0.04861878453038674,0.018232044198895028,0.012154696132596685,0.0060773480662983425,0.15248618784530385,0.10662983425414363,0.058011049723756904,1.8232044198895025,0.06408839779005523,0.045856353591160214,0.16187845303867404,0.02154696132596685,0.012154696132596685,2.022099447513812,1.149171270718232,1.6077348066298343,14.285714285714285,16.3265306122449,30.612244897959183,56.12244897959183,44.89795918367347,24.489795918367346,7.142857142857142,24.489795918367346,22.448979591836736,8.16326530612245,12.244897959183673,35.714285714285715,14.285714285714285,38.775510204081634,4.081632653061225,63.26530612244898,12.244897959183673,28.57142857142857,14.285714285714292,28.57142857142857,20.408163265306122,32.6530612244898,29.33673469387755,25.255102040816325,19.642857142857146,30.102040816326532,18.367346938775512,27.210884353741495,25.148809523809522
Alex Iwobi,Everton,MF,1872,20.8,1.97,0.63,1.06,0.96,1.11,0.77,0.1,6.3,4.86,1.83,75.7,3.7,1.59,2.5,1.15,0.43,78.9,1.83,1.39,53.1,31.8,36.7,0.09471153846153846,0.03028846153846154,0.05096153846153846,0.04615384615384615,0.05336538461538462,0.03701923076923077,0.004807692307692308,0.30288461538461536,0.23365384615384616,0.08798076923076924,3.639423076923077,0.1778846153846154,0.0764423076923077,0.12019230769230768,0.05528846153846153,0.020673076923076922,2.5528846153846154,1.5288461538461537,1.764423076923077,23.943661971830984,23.943661971830984,16.901408450704224,33.80281690140845,53.52112676056338,18.30985915492958,7.042253521126761,28.169014084507044,30.985915492957744,56.33802816901409,29.577464788732392,32.3943661971831,57.74647887323944,28.169014084507044,52.112676056338024,77.46478873239437,46.478873239436616,27.464788732394368,32.3943661971831,15.492957746478872,26.76056338028169,25.352112676056336,24.64788732394366,26.760563380281692,37.32394366197183,53.87323943661972,35.44600938967136,22.535211267605632,33.29225352112677
Alexis Mac Allister,Brighton,MF,1547,17.2,2.79,1.16,0.81,0.29,0.81,1.69,0.29,7.97,4.59,1.22,78.5,4.88,1.05,2.5,0.7,0.17,88.4,0.93,1.1,67.9,39.0,47.8,0.1622093023255814,0.06744186046511627,0.04709302325581396,0.016860465116279068,0.04709302325581396,0.09825581395348837,0.016860465116279068,0.4633720930232558,0.2668604651162791,0.07093023255813953,4.563953488372094,0.2837209302325581,0.06104651162790698,0.14534883720930233,0.04069767441860465,0.00988372093023256,3.9476744186046515,2.2674418604651163,2.7790697674418605,73.23943661971832,61.97183098591549,11.267605633802818,8.450704225352112,42.25352112676056,88.73239436619718,44.36619718309859,74.64788732394366,43.66197183098591,43.66197183098591,49.29577464788733,69.01408450704226,42.25352112676056,39.436619718309856,35.2112676056338,47.88732394366197,95.07042253521126,75.35211267605634,45.070422535211264,63.38028169014085,64.7887323943662,70.4225352112676,38.732394366197184,62.5,51.408450704225345,41.19718309859155,71.83098591549295,66.19718309859155,55.47535211267606
Amadou Onana,Everton,MF,1485,16.5,3.03,1.15,1.03,1.52,1.09,1.64,0.3,5.45,2.73,1.33,64.7,3.27,0.61,1.33,0.42,0.18,84.3,1.58,0.55,50.4,26.0,33.6,0.18363636363636363,0.06969696969696969,0.062424242424242424,0.09212121212121212,0.06606060606060607,0.09939393939393938,0.01818181818181818,0.3303030303030303,0.16545454545454547,0.08060606060606061,3.9212121212121214,0.19818181818181818,0.03696969696969697,0.08060606060606061,0.025454545454545452,0.010909090909090908,3.0545454545454547,1.5757575757575757,2.0363636363636366,81.69014084507043,69.01408450704226,31.690140845070424,77.46478873239437,69.01408450704226,90.14084507042254,48.59154929577465,32.3943661971831,16.901408450704224,50.70422535211267,38.028169014084504,43.66197183098591,18.30985915492958,7.042253521126761,18.30985915492958,53.52112676056338,78.87323943661971,35.21126760563379,88.02816901408451,33.80281690140845,29.577464788732392,35.2112676056338,64.96478873239437,60.03521126760564,37.32394366197183,24.295774647887324,67.37089201877934,32.863849765258216,47.89612676056338
Andreas Pereira,Fulham,MF,1904,21.2,0.52,0.19,0.85,0.24,0.05,0.19,0.28,4.15,3.77,1.84,58.9,2.78,2.45,4.06,0.85,0.0,64.7,1.84,1.56,43.5,23.6,27.5,0.024528301886792454,0.008962264150943396,0.04009433962264151,0.011320754716981131,0.002358490566037736,0.008962264150943396,0.013207547169811323,0.1957547169811321,0.1778301886792453,0.08679245283018869,2.7783018867924527,0.1311320754716981,0.11556603773584907,0.19150943396226414,0.04009433962264151,0.0,2.05188679245283,1.1132075471698115,1.2971698113207548,1.4084507042253522,4.225352112676056,7.042253521126761,4.225352112676056,1.4084507042253522,1.4084507042253522,36.61971830985916,5.633802816901409,18.30985915492958,54.929577464788736,15.492957746478872,18.30985915492958,85.91549295774648,67.6056338028169,32.3943661971831,7.746478873239436,1.4084507042253522,25.352112676056336,21.126760563380287,1.4084507042253522,7.042253521126761,4.225352112676056,4.225352112676056,11.267605633802818,26.760563380281692,48.41549295774648,15.962441314553992,4.225352112676057,18.52992957746479
